index	cell
0	a x c x [a,c]
1	a x c x [a,d]
2	a x c x [b,c]
3	a x c x [b,d]
4	a x c x [c,d]
5	a x [a,c] x c
6	a x [a,d] x c
7	a x [b,c] x c
8	a x [b,d] x c
9	a x [c,d] x c
10	b x c x [a,c]
11	b x c x [a,d]
12	b x c x [b,c]
13	b x c x [b,d]
14	b x c x [c,d]
15	b x [a,c] x c
16	b x [a,d] x c
17	b x [b,c] x c
18	b x [b,d] x c
19	b x [c,d] x c
20	c x a x [a,c]
21	c x a x [a,d]
22	c x a x [b,c]
23	c x a x [b,d]
24	c x a x [c,d]
25	c x b x [a,c]
26	c x b x [a,d]
27	c x b x [b,c]
28	c x b x [b,d]
29	c x b x [c,d]
30	c x c x [a,c]
31	c x c x [a,d]
32	c x c x [b,c]
33	c x c x [b,d]
34	c x c x [c,d]
35	c x d x [a,c]
36	c x d x [a,d]
37	c x d x [b,c]
38	c x d x [b,d]
39	c x d x [c,d]
40	c x [a,c] x a
41	c x [a,c] x b
42	c x [a,c] x c
43	c x [a,c] x d
44	c x [a,d] x a
45	c x [a,d] x b
46	c x [a,d] x c
47	c x [a,d] x d
48	c x [b,c] x a
49	c x [b,c] x b
50	c x [b,c] x c
51	c x [b,c] x d
52	c x [b,d] x a
53	c x [b,d] x b
54	c x [b,d] x c
55	c x [b,d] x d
56	c x [c,d] x a
57	c x [c,d] x b
58	c x [c,d] x c
59	c x [c,d] x d
60	d x c x [a,c]
61	d x c x [a,d]
62	d x c x [b,c]
63	d x c x [b,d]
64	d x c x [c,d]
65	d x [a,c] x c
66	d x [a,d] x c
67	d x [b,c] x c
68	d x [b,d] x c
69	d x [c,d] x c
70	[a,c] x a x c
71	[a,c] x b x c
72	[a,c] x c x a
73	[a,c] x c x b
74	[a,c] x c x c
75	[a,c] x c x d
76	[a,c] x d x c
77	[a,d] x a x c
78	[a,d] x b x c
79	[a,d] x c x a
80	[a,d] x c x b
81	[a,d] x c x c
82	[a,d] x c x d
83	[a,d] x d x c
84	[b,c] x a x c
85	[b,c] x b x c
86	[b,c] x c x a
87	[b,c] x c x b
88	[b,c] x c x c
89	[b,c] x c x d
90	[b,c] x d x c
91	[b,d] x a x c
92	[b,d] x b x c
93	[b,d] x c x a
94	[b,d] x c x b
95	[b,d] x c x c
96	[b,d] x c x d
97	[b,d] x d x c
98	[c,d] x a x c
99	[c,d] x b x c
100	[c,d] x c x a
101	[c,d] x c x b
102	[c,d] x c x c
103	[c,d] x c x d
104	[c,d] x d x c
