index	cell
0	a x a x c
1	a x b x c
2	a x c x a
3	a x c x b
4	a x c x c
5	a x c x d
6	a x d x c
7	b x a x c
8	b x b x c
9	b x c x a
10	b x c x b
11	b x c x c
12	b x c x d
13	b x d x c
14	c x a x a
15	c x a x b
16	c x a x c
17	c x a x d
18	c x b x a
19	c x b x b
20	c x b x c
21	c x b x d
22	c x c x a
23	c x c x b
24	c x c x c
25	c x c x d
26	c x d x a
27	c x d x b
28	c x d x c
29	c x d x d
30	d x a x c
31	d x b x c
32	d x c x a
33	d x c x b
34	d x c x c
35	d x c x d
36	d x d x c
