index	cell
0	a x a x a
1	a x a x b
2	a x a x c
3	a x a x d
4	a x b x a
5	a x b x b
6	a x b x c
7	a x b x d
8	a x c x a
9	a x c x b
10	a x c x c
11	a x c x d
12	a x d x a
13	a x d x b
14	a x d x c
15	a x d x d
16	b x a x a
17	b x a x b
18	b x a x c
19	b x a x d
20	b x b x a
21	b x c x a
22	b x d x a
23	c x a x a
24	c x a x b
25	c x a x c
26	c x a x d
27	c x b x a
28	c x c x a
29	c x d x a
30	d x a x a
31	d x a x b
32	d x a x c
33	d x a x d
34	d x b x a
35	d x c x a
36	d x d x a
