index	cell
0	a x a x [a,c]
1	a x a x [a,d]
2	a x a x [b,c]
3	a x a x [b,d]
4	a x a x [c,d]
5	a x b x [a,c]
6	a x b x [a,d]
7	a x b x [b,c]
8	a x b x [b,d]
9	a x b x [c,d]
10	a x c x [a,c]
11	a x c x [a,d]
12	a x c x [b,c]
13	a x c x [b,d]
14	a x c x [c,d]
15	a x d x [a,c]
16	a x d x [a,d]
17	a x d x [b,c]
18	a x d x [b,d]
19	a x d x [c,d]
20	a x [a,c] x a
21	a x [a,c] x b
22	a x [a,c] x c
23	a x [a,c] x d
24	a x [a,d] x a
25	a x [a,d] x b
26	a x [a,d] x c
27	a x [a,d] x d
28	a x [b,c] x a
29	a x [b,c] x b
30	a x [b,c] x c
31	a x [b,c] x d
32	a x [b,d] x a
33	a x [b,d] x b
34	a x [b,d] x c
35	a x [b,d] x d
36	a x [c,d] x a
37	a x [c,d] x b
38	a x [c,d] x c
39	a x [c,d] x d
40	b x a x [a,c]
41	b x a x [a,d]
42	b x a x [b,c]
43	b x a x [b,d]
44	b x a x [c,d]
45	b x [a,c] x a
46	b x [a,d] x a
47	b x [b,c] x a
48	b x [b,d] x a
49	b x [c,d] x a
50	c x a x [a,c]
51	c x a x [a,d]
52	c x a x [b,c]
53	c x a x [b,d]
54	c x a x [c,d]
55	c x [a,c] x a
56	c x [a,d] x a
57	c x [b,c] x a
58	c x [b,d] x a
59	c x [c,d] x a
60	d x a x [a,c]
61	d x a x [a,d]
62	d x a x [b,c]
63	d x a x [b,d]
64	d x a x [c,d]
65	d x [a,c] x a
66	d x [a,d] x a
67	d x [b,c] x a
68	d x [b,d] x a
69	d x [c,d] x a
70	[a,c] x a x a
71	[a,c] x a x b
72	[a,c] x a x c
73	[a,c] x a x d
74	[a,c] x b x a
75	[a,c] x c x a
76	[a,c] x d x a
77	[a,d] x a x a
78	[a,d] x a x b
79	[a,d] x a x c
80	[a,d] x a x d
81	[a,d] x b x a
82	[a,d] x c x a
83	[a,d] x d x a
84	[b,c] x a x a
85	[b,c] x a x b
86	[b,c] x a x c
87	[b,c] x a x d
88	[b,c] x b x a
89	[b,c] x c x a
90	[b,c] x d x a
91	[b,d] x a x a
92	[b,d] x a x b
93	[b,d] x a x c
94	[b,d] x a x d
95	[b,d] x b x a
96	[b,d] x c x a
97	[b,d] x d x a
98	[c,d] x a x a
99	[c,d] x a x b
100	[c,d] x a x c
101	[c,d] x a x d
102	[c,d] x b x a
103	[c,d] x c x a
104	[c,d] x d x a
